Curr State,,Next State,,,,,,,100,,,,,,1000,,,,,10000,,,,100000,,,1000000
,,100,1000,10000,100000,1000000,1000000,,v1000,v10000,v100000,v1000000,v10000000,,v1000,v10000,v100000,v1000000,,v10000,v100000,v1000000,,v100000,v1000000,,v1000000
1010,,2010,2010,2010,2010,2010,2010,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
1011,,2110,2110,2110,2110,2110,2110,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
1020,,3010,3010,3010,3010,3010,3010,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
1021,,3110,2210,2210,2210,2210,2210,,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
1022,,3210,3210,3210,3210,3210,3210,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
1030,,4010,4010,4010,4010,4010,4010,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
1031,,4110,3210,3210,3210,3210,3210,,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
1032,,3310,3310,3310,3310,3310,3310,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
1033,,4310,4310,4310,4310,4310,4310,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
1040,,10,10,10,10,10,10,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
